quote_no;productid;quantity;listprice;product_no;productname
QUO7445;4;10;450;PRO1;LINKSYS ADSL ROUTER
QUO7446;112;1;27900;PRO11;Website Design and Development
QUO7446;114;1;10500;PRO13;Website CMS Training
QUO7447;89;1;8250;PRO3;MITEL 3300 CXI - 16  Controller Main Telephone sys
QUO7447;92;4;337.5;PRO5;MITEL 3300 CXI - IP Desk top License / Wireless li
QUO7447;91;1;3937.5;PRO4;MITEL Software Package - with Digital Link License
QUO7447;93;5;772.5;PRO6;MITEL- 5212 IP Phone Dual Port Dark Grey
QUO7447;95;2;1095;PRO7;MITEL- 5224 IP Phone Dual Port Dark Grey
QUO7447;99;1;1530;PRO8;MITEL- Mitel IP Programmable Key Modules 12 and 48
QUO7447;109;1;3000;PRO9;TI-System Installation
QUO7447;110;1;3100;PRO10;MITEL - BRI Module
QUO7448;112;1;29900;PRO11;Website Design and Development
QUO7448;114;1;10500;PRO13;Website CMS Training
QUO7449;1965;1;5430;PRO1347;HP ML 350 Tower-Processor upgrade - 1 x Intel Quad
QUO7449;1966;1;1400;PRO1348;HP - Memory - 2 GB ( 2 x 1 GB ) - FB-DIMM 240-pin 
QUO7449;1968;1;750;PRO1349;"HP - Hard drive - 160 GB - hot-swap - 3.5"" - SATA-"
QUO7449;1969;1;420;PRO1350;HP - Disk drive - DVD-ROM - 16x - Serial ATA - int
QUO7449;2069;1;2400;PRO1405;Network Rack 27U 600X800
QUO7449;2074;1;2250;PRO1406;HP StorageWorks DAT 72 Internal Drive
QUO7449;2181;1;2560;PRO1410;APC Smart-UPS 1500VA USB & Serial 230V
QUO7450;1969;1;229.9;PRO1350;HP - Disk drive - DVD-ROM - 16x - Serial ATA - int
QUO7450;1968;2;387.55;PRO1349;"HP - Hard drive - 160 GB - hot-swap - 3.5"" - SATA-"
QUO7450;1966;1;650.31;PRO1348;HP - Memory - 2 GB ( 2 x 1 GB ) - FB-DIMM 240-pin 
QUO7450;1965;1;1372.87;PRO1347;HP ML 350 Tower-Processor upgrade - 1 x Intel Quad
QUO7451;1991;10;20;PRO1357;Dual Face Plate
QUO7451;1992;2;16;PRO1358;Single face plate
QUO7451;1993;10;37;PRO1359;Floor box module with keystone
QUO7451;1994;22;15;PRO1360;Key stone jack
QUO7451;1995;32;150;PRO1361;Cable tracing, termination, labelling and testing.
QUO7452;1998;2;190;PRO1362;512 MB Memory
QUO7453;2001;1;150;PRO1363;Power Supply 400 watts
QUO7454;121;1;2310;PRO16;IPO  IPO500 CONTROL UNIT- - (The main control unit
QUO7454;2003;2;224;PRO1364;IPO 500 RACK MOUNTING KIT
QUO7454;2004;1;70;PRO1365;IPO 5OO FEAT KEY MUL
QUO7454;2005;1;3290;PRO1366;IPO STD TO PRO UPGRADE
QUO7454;2006;1;2800;PRO1367;IPO IP500 VCM 32 CARD
QUO7454;2007;1;7560;PRO1368;IPO IP 500 TRNK ANLG EXP 16 UNIT
QUO7454;2008;1;70;PRO1369;IPO IP500 POWER LEAD EATHERED UK
QUO7454;2009;1;6650;PRO1370;IPO LIC VM PRO RFA LIC:DS
QUO7454;2010;1;8750;PRO1371;IPO LIC VM PRO RFA LIC 04 CHNL
QUO7454;2011;1;5110;PRO1372;IPO IP500 LIC CONTACT STORE
QUO7454;2012;1;7000;PRO1373;IPO - SERVICE CHARGES FOR PABX
QUO7455;2014;80;315;PRO1374;Both End Termination of data and voice points, tra
QUO7455;2015;80;21;PRO1375;Patch Cord CAT6 - 3M
QUO7455;2016;80;16.8;PRO1376;Patch Cord CAT6 - 2M
QUO7455;2017;4;157.5;PRO1377;Cable Organizer - Brush Panel
QUO7455;2018;4;262.5;PRO1378;Patch Panel CAT6 - 24 Ports
QUO7455;2019;1;577.5;PRO1379;Linksys dual band N Router
QUO7455;2020;1;3570;PRO1380;Bufallo Link Station Pro 1T.B   SATA  Based Networ
QUO7455;2021;1;4200;PRO1381;Network Rack 42U 800*1000
QUO7455;1640;4;7875;PRO1026;Cisco 24 10/100 (24PoE)
QUO7455;2042;4;5355;PRO1401;AIR-AP1231G-E-K9
QUO7455;2022;1;13990;PRO1382;416561-421 HP Server ProLiant Rack ProLiant DL360 
QUO7455;2023;2;1800;PRO1383;HP HDD 146GB 10K SAS 2.5
QUO7455;2024;1;687;PRO1384;397409-B21 HP 1GB FBD PC2-5300 2x512kit
QUO7455;2025;1;988;PRO1385;399771-B21 HP RPS 350/370/380G5/385G2 Kit
QUO7455;2026;3;4430;PRO1386;HP DX2390/E7300 (C2D 2.66 3M)/MCR/4GB/160GB/DVDRW/
QUO7455;2027;3;1400;PRO1387;HP LCD 22”
QUO7455;2029;3;2960;PRO1389;HP DX2290 (2.4Ghz), 1GB Ram, 160GB
QUO7455;2028;3;1000;PRO1388;HP L1908w Wide LCD Monitor
QUO7455;2030;5;210;PRO1390;UPS 500VA for Desktop Clients – China Made
QUO7455;2031;2;1800;PRO1391;HP 2015N A4 Printer with Network Support
QUO7455;2032;6;1400;PRO1392;HP 2015N TONER SET
QUO7455;2033;1;1500;PRO1393;HP Office Jet K 7103 A3 Printer
QUO7455;2034;1;8800;PRO1394;XEROX FAX Machine M20I
QUO7455;2035;1;48000;PRO1395;Work Centre 7242-Multiple Trays With Network Scann
QUO7455;2036;1;88000;PRO1396;Work Centre 7345-Multiple Trays With Network Scann
QUO7455;2037;1;51200;PRO1397;Avaya S8300/G700-Telecommunication Converged Solut
QUO7455;2038;1;23000;PRO1398;Avaya S8300/G700-Avaya Wireless Voice Priority Pro
QUO7455;2039;60;1960;PRO1399;9630 IP Phones
QUO7455;2040;1;20000;PRO1400;AVAYA-Installation, testing, commissioning & train
QUO7456;2053;1;6550;PRO1403;HP Workstation xw 4600-cmt 1 x Core 2 Quad Q 9550/
QUO7457;2055;2;20;PRO1404;PC Optical Mouse Genius Brand
QUO7458;2014;80;240;PRO1374;Both End Termination of data and voice points, tra
QUO7458;2015;40;21;PRO1375;Patch Cord CAT6 - 3M
QUO7458;2016;40;16.8;PRO1376;Patch Cord CAT6 - 2M
QUO7458;2017;4;157.5;PRO1377;Cable Organizer - Brush Panel
QUO7458;2018;4;262.5;PRO1378;Patch Panel CAT6 - 24 Ports
QUO7458;1991;50;15;PRO1357;Dual Face Plate
QUO7458;1994;80;15;PRO1360;Key stone jack
QUO7458;4779;1;1500;PRO1683;Network Rack 15U 800*600
QUO7459;1995;48;200;PRO1361;Cable tracing, termination, labelling and testing.
QUO7459;2246;2;200;PRO1413;CAT6 24 Port Patch Panel
QUO7459;2302;1;2500;PRO1432;Linksys 24-port 10/100 + 4-Port Gigabit Switch Web
QUO7460;2074;1;1789.03;PRO1406;HP StorageWorks DAT 72 Internal Drive
QUO7461;2135;1;740;PRO1408;Hp Widescreen LCD monitor
QUO7461;2136;2;200;PRO1409;Kingston 1 GB DDR1
QUO7462;2135;1;620;PRO1408;Hp Widescreen LCD monitor
QUO7462;2136;2;100;PRO1409;Kingston 1 GB DDR1
QUO7463;109;1;3500;PRO9;TI-System Installation
QUO7464;2235;1;1800;PRO1411;Network Rack 27U 800*1000
QUO7465;2238;1;1600;PRO1412;Cable termination,labelling,testing
QUO7466;2246;2;150;PRO1413;CAT6 24 Port Patch Panel
QUO7467;109;1;3500;PRO9;TI-System Installation
QUO7468;2250;6;23360;PRO1416;HP DL380R05 X5450 4G Perf EU Svr
QUO7468;2023;4;1450;PRO1383;HP HDD 146GB 10K SAS 2.5
QUO7468;2263;4;450;PRO1423;HP 2GB FBD PC2-5300 2x1GB Kit
QUO7468;2265;2;11600;PRO1424;Win Svr Ent 2003 R2a Win32 English 1pk DSP1-8CPU 2
QUO7468;2254;4;2710;PRO1420;Windows Server 2003 R2 Standard Edition
QUO7468;2267;2;3010;PRO1425;SQL Svr Enterprise Edtn 2008 Sngl OLP NL
QUO7469;109;1;0;PRO9;TI-System Installation
QUO7469;2026;6;2250;PRO1386;HP DX2390/E7300 (C2D 2.66 3M)/MCR/4GB/160GB/DVDRW/
QUO7469;2028;6;850;PRO1388;HP L1908w Wide LCD Monitor
QUO7469;2299;6;575;PRO1431;WIN XP PROF SP3 ENGLISH 3PK
QUO7470;2286;1;17300;PRO1426;NORTEL-Business Communications Manager 50
QUO7470;2287;7;750;PRO1427;NORTEL-T7316 Telephone Charcoal Executive with Dis
QUO7470;109;1;5000;PRO9;TI-System Installation
QUO7470;4656;1;1500;PRO1657;T7316E
QUO7471;2294;1;420;PRO1430;Service Charge for Samsung Printer
QUO7472;2302;1;2200;PRO1432;Linksys 24-port 10/100 + 4-Port Gigabit Switch Web
QUO7472;2238;150;90;PRO1412;Cable termination,labelling,testing
QUO7473;2313;1;27500;PRO1439;"HP DesignJet T1100 44""Plotter"
QUO7473;2354;4;270;PRO1466;HP 72130 ml Cyan Ink Cartridge with Vivera Ink(C93
QUO7473;2357;4;270;PRO1469;HP 72130 ml Grey Ink Cartridge with Vivera Ink(C93
QUO7473;2355;4;270;PRO1467;HP 72130 ml Magenta Ink Cartridge with Vivera Ink(
QUO7473;2358;4;270;PRO1470;HP 72130 ml Matte Black Ink Cartridge with Vivera(
QUO7473;2356;4;270;PRO1468;HP 72130 ml yellow Ink Cartridge with Vivera Inkr(
QUO7474;2304;1;1500;PRO1433;Coordination and installation fees
QUO7474;109;1;1500;PRO9;TI-System Installation
QUO7474;2019;1;480;PRO1379;Linksys dual band N Router
QUO7474;2336;1;190;PRO1455;Patch Panel 24 port cat 6
QUO7474;2335;12;200;PRO1454;Cable laying, termination, labeling and testing
QUO7474;2334;24;18;PRO1453;Key Stone Jack
QUO7474;2333;12;18;PRO1452;Dual Phase Plate
QUO7474;2332;1;3200;PRO1451;Shifting and reconfiguring fees
QUO7474;2331;1;2500;PRO1450;Linksys Switch 24 Ports Gigabit – Managed
QUO7474;2330;1;3200;PRO1449;APC UPS 1500VA USB & Serial 230V
QUO7474;2329;1;2400;PRO1448;Network Rack 27U 800*1000
QUO7475;2342;2;1766;PRO1459;HP DX2390 / E7300 (C2D 2.66Ghz -3MB L2 Cache) / MC
QUO7475;2348;1;1005;PRO1464;HP LJ P2015     26ppm, PCL/PS, 32MB, 45 fonts
QUO7475;2349;2;438;PRO1465;Acer LCD Monitor 17#
QUO7475;2299;2;590;PRO1431;WIN XP PROF SP3 ENGLISH 3PK
QUO7476;109;1;500;PRO9;TI-System Installation
QUO7477;2342;2;1889;PRO1459;HP DX2390 / E7300 (C2D 2.66Ghz -3MB L2 Cache) / MC
QUO7477;2348;1;1005;PRO1464;HP LJ P2015     26ppm, PCL/PS, 32MB, 45 fonts
QUO7477;2349;2;438;PRO1465;Acer LCD Monitor 17#
QUO7477;2343;1;540;PRO1460;WIN XP PROF SP3 ENGLISH 3PK
QUO7478;2359;2;12975;PRO1471;XEROX - WorkCentre 5225
QUO7478;2398;4;1000;PRO1482;XEROX - WorkCentre 5225-TONER
QUO7479;2001;1;190;PRO1363;Power Supply 400 watts
QUO7480;2302;8;1585;PRO1432;Linksys 24-port 10/100 + 4-Port Gigabit Switch Web
QUO7481;2418;8;3590;PRO1487;Linksys48-port 10/100 + 4-Port Gigabit Switch with
QUO7482;2418;8;3590;PRO1487;Linksys48-port 10/100 + 4-Port Gigabit Switch with
QUO7483;109;1;0;PRO9;TI-System Installation
QUO7483;2424;1;1190;PRO1489;Samsung Printer ML 2851
QUO7483;2423;1;850;PRO1488;Samsung Printer ML2151N
QUO7484;2974;1;3220;PRO1495;Linksys48-Port 10/100/1000 Gigabit
QUO7484;2018;2;160;PRO1378;Patch Panel CAT6 - 24 Ports
QUO7484;2016;50;13;PRO1376;Patch Cord CAT6 - 2M
QUO7484;2015;50;17;PRO1375;Patch Cord CAT6 - 3M
QUO7484;1991;5;20;PRO1357;Dual Face Plate
QUO7484;2335;50;180;PRO1454;Cable laying, termination, labeling and testing
QUO7484;1998;25;75;PRO1362;512 MB Memory
QUO7484;2453;25;85;PRO1491;DLINK NETWORK CARD 10/100/1000
QUO7484;1992;39;10;PRO1358;Single face plate
QUO7484;3716;49;12;PRO1610;Key stone jack
QUO7485;2037;1;60000;PRO1397;Avaya S8300/G700-Telecommunication Converged Solut
QUO7485;2039;200;1300;PRO1399;9630 IP Phones
QUO7485;2040;1;20000;PRO1400;AVAYA-Installation, testing, commissioning & train
QUO7486;2267;1;30100;PRO1425;SQL Svr Enterprise Edtn 2008 Sngl OLP NL
QUO7487;2969;20;2400;PRO1494;HP DX2390 / E7300 (C2D 2.66Ghz -3MB L2 Cache) / MC
QUO7488;2969;20;2805;PRO1494;HP DX2390 / E7300 (C2D 2.66Ghz -3MB L2 Cache) / MC
QUO7489;2977;1;3350;PRO1498;HP ML110T05, 1P Pentium®
QUO7489;2254;1;2790;PRO1420;Windows Server 2003 R2 Standard Edition
QUO7490;109;2;300;PRO9;TI-System Installation
QUO7490;3755;1;360;PRO1616;Linksys Wireless ADSL Router
QUO7491;2250;6;23360;PRO1416;HP DL380R05 X5450 4G Perf EU Svr
QUO7491;2023;4;1450;PRO1383;HP HDD 146GB 10K SAS 2.5
QUO7491;2339;4;450;PRO1457;HP 2GB FBD PC2-5300 2x1GB Kit
QUO7491;2265;2;11600;PRO1424;Win Svr Ent 2003 R2a Win32 English 1pk DSP1-8CPU 2
QUO7491;2254;4;2710;PRO1420;Windows Server 2003 R2 Standard Edition
QUO7491;2267;1;30100;PRO1425;SQL Svr Enterprise Edtn 2008 Sngl OLP NL
QUO7492;2976;50;1090;PRO1497;Cisco WVC210 Wireless-G
QUO7493;2993;20;2880;PRO1503;HP DX2390 / E7300 (C2D 2.66Ghz -3MB L2 Cache) / MC
QUO7494;3077;1;5796;PRO1509;HP LAPTOP EliteBook 8730w
QUO7494;3079;1;3850;PRO1510;HP Work Station XW 4600 2.2
QUO7494;3080;14;3300;PRO1511;HP COMPAQ DC 7800
QUO7494;3081;18;585;PRO1512;Acer 19# LCD Monitor
QUO7494;3082;1;810;PRO1513;HP OfficeJet K7103 Printer
QUO7494;3083;1;1365;PRO1514;HP Scanjet 5590 Digital Flatbed Scanner +ADF
QUO7494;3084;1;24700;PRO1515;Xerox WorkCentre™ 5632
QUO7494;3088;1;1999;PRO1517;Portable Projector Hitachi CP-RX70
QUO7494;3087;1;460;PRO1516;External HDD Capacity 1TB USB connectivity
QUO7495;3096;1;4130;PRO1519;HP COMPAQ NX 6530 Laptop
QUO7495;3111;1;4250;PRO1528;HP Work Station XW 4600 2.4
QUO7495;3079;14;3710;PRO1510;HP Work Station XW 4600 2.2
QUO7495;3098;18;790;PRO1520;HP 19” LCD Monitor Wide Screen
QUO7495;3082;1;800;PRO1513;HP OfficeJet K7103 Printer
QUO7495;3083;1;1345;PRO1514;HP Scanjet 5590 Digital Flatbed Scanner +ADF
QUO7495;3100;1;250;PRO1522;Scanner HP G2710
QUO7495;3090;1;640;PRO1518;METROLOGIC Barcode Scanner
QUO7495;3103;1;2100;PRO1525;Cross Cutter Shredder HSM
QUO7495;3084;1;23500;PRO1515;Xerox WorkCentre™ 5632
QUO7495;3088;1;2900;PRO1517;Portable Projector Hitachi CP-RX70
QUO7495;3104;1;650;PRO1526;WD 1 TB External HDD
QUO7495;3112;1;750;PRO1529;240cmX240cm Manual Wall/Ceiling Screen
QUO7495;3113;3;1100;PRO1530;GPS MOOV200 3.5 screen,basic navigator, with music
QUO7496;3117;30;1400;PRO1531;Office 2007 Sngl OLP NL
QUO7496;3118;1;110;PRO1532;Office 2007 Win32 English
QUO7497;109;1;3000;PRO9;TI-System Installation
QUO7498;3150;1;2550;PRO1535;HP DX2390 / E7300 (C2D 2.66Ghz -3MB L2 Cache) Win 
QUO7498;3153;1;0;PRO1536;TI-System Installation and Configuration
QUO7499;2026;1;2700;PRO1386;HP DX2390/E7300 (C2D 2.66 3M)/MCR/4GB/160GB/DVDRW/
QUO7499;2393;1;750;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7499;2254;1;2521.8;PRO1420;Windows Server 2003 R2 Standard Edition
QUO7499;3153;1;2500;PRO1536;TI-System Installation and Configuration
QUO7500;3248;1;180;PRO1589;Linksys Broad band Router RJ45
QUO7500;3249;3;5;PRO1590;UPS Power Cable
QUO7501;3198;12;750;PRO1553;Service Level Agreement-Terzo
QUO7502;3524;1;820;PRO1597;HP Single Ch U320 SCSI Host Bus Adapter
QUO7503;3611;1;5754.34;PRO1604;HP LaserJet M3027
QUO7504;3656;1;195;PRO1605;Dlink ADSL Wireless router with modem
QUO7505;3699;4;4763;PRO1606;HP Laptop KU398ES 6530b - C2D P8600 (2.4/3MB/1066)
QUO7506;3834;1;5800;PRO1624;HP Pav DV5-1299 Laptop
QUO7507;3718;1;1000;PRO1612;Installation and delivery of trunking ,conduit  an
QUO7507;3714;5;8;PRO1608;dual face plate
QUO7507;3715;39;7.5;PRO1609;Single face plate
QUO7507;3716;49;9.5;PRO1610;Key stone jack
QUO7507;3717;50;90;PRO1611;Cable pulling , tracing, termination, labelling an
QUO7508;1680;2;5000;PRO1066;1-port ADSL WAN Interface Card
QUO7509;3749;1;280;PRO1613;LG DVD Writer External
QUO7509;3753;1;150;PRO1615;LG DVD Writer Internal
QUO7510;3751;1;550;PRO1614;Motherboard replacement
QUO7511;3755;1;240;PRO1616;Linksys Wireless ADSL Router
QUO7511;3756;1;65;PRO1617;Fax Modem
QUO7511;3757;1;20;PRO1618;Internal LAN Card
QUO7511;3758;1;30;PRO1619;Power Extension
QUO7512;3816;1;494000;PRO1621;BSD-TECHNICAL ANALYST
QUO7512;3817;1;378000;PRO1622;BSD-ORACLE DEVELOPER
QUO7512;3818;1;210000;PRO1623;BSD-TESTER
QUO7513;3816;1;450000;PRO1621;BSD-TECHNICAL ANALYST
QUO7513;3817;1;320000;PRO1622;BSD-ORACLE DEVELOPER
QUO7513;3818;1;250000;PRO1623;BSD-TESTER
QUO7514;3840;5;390;PRO1625;Link SYS WRT-160N
QUO7515;3153;1;12000;PRO1536;TI-System Installation and Configuration
QUO7516;3869;13;3100;PRO1626;HP DC5800 SFF Intel Core 2 Due E8400 (3.0GHz 6M Ca
QUO7516;3870;14;207;PRO1627;2GB 800MHz2-6400 DDR2 SODIMM - compatible with 200
QUO7516;2393;13;790;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7516;2335;40;120;PRO1454;Cable laying, termination, labeling and testing
QUO7516;2336;2;190;PRO1455;Patch Panel 24 port cat 6
QUO7516;1992;40;11;PRO1358;Single face plate
QUO7516;3716;40;11;PRO1610;Key stone jack
QUO7516;2417;1;1550;PRO1486;Linksys 48-Port 10/100 + 4 Port Gigabit,  2 Combo 
QUO7517;2254;5;2720;PRO1420;Windows Server 2003 R2 Standard Edition
QUO7517;3229;200;140;PRO1575;Trend Micro - Corporate License
QUO7518;3954;14;2962.4;PRO1628;HP DC5800 SFF/Intel Core 2 Quad Q8200 (2.33GHz 4M 
QUO7518;3956;14;80;PRO1629;Kingston DDR2 800MHz
QUO7518;2393;14;790;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7518;2335;40;120;PRO1454;Cable laying, termination, labeling and testing
QUO7518;2336;2;190;PRO1455;Patch Panel 24 port cat 6
QUO7518;3715;40;11;PRO1609;Single face plate
QUO7518;3716;40;11;PRO1610;Key stone jack
QUO7518;2417;1;1550;PRO1486;Linksys 48-Port 10/100 + 4 Port Gigabit,  2 Combo 
QUO7519;3954;14;3160;PRO1628;HP DC5800 SFF/Intel Core 2 Quad Q8200 (2.33GHz 4M 
QUO7519;3956;14;90;PRO1629;Kingston DDR2 800MHz
QUO7519;2393;14;790;PRO1480;"HP LCD MONITOR ""17 Multimedia"
