"salesorder_no";"productid";"quantity";"listprice";"product_no";"productname"
"SO1";4;"10.000";"450.000";"PRO1";"LINKSYS ADSL ROUTER"
"SO2";89;"1.000";"8250.000";"PRO3";"MITEL 3300 CXI - 16  Controller Main Telephone sys"
"SO2";92;"4.000";"337.500";"PRO5";"MITEL 3300 CXI - IP Desk top License / Wireless li"
"SO2";91;"1.000";"3937.500";"PRO4";"MITEL Software Package - with Digital Link License"
"SO2";93;"5.000";"772.500";"PRO6";"MITEL- 5212 IP Phone Dual Port Dark Grey"
"SO2";95;"2.000";"1095.000";"PRO7";"MITEL- 5224 IP Phone Dual Port Dark Grey"
"SO2";99;"1.000";"1530.000";"PRO8";"MITEL- Mitel IP Programmable Key Modules 12 and 48"
"SO2";109;"1.000";"3000.000";"PRO9";"TI-System Installation"
"SO2";110;"1.000";"3100.000";"PRO10";"MITEL - BRI Module"
"SO3";89;"1.000";"8250.000";"PRO3";"MITEL 3300 CXI - 16  Controller Main Telephone sys"
"SO3";92;"4.000";"337.500";"PRO5";"MITEL 3300 CXI - IP Desk top License / Wireless li"
"SO3";91;"1.000";"3937.500";"PRO4";"MITEL Software Package - with Digital Link License"
"SO3";93;"5.000";"772.500";"PRO6";"MITEL- 5212 IP Phone Dual Port Dark Grey"
"SO3";95;"2.000";"1095.000";"PRO7";"MITEL- 5224 IP Phone Dual Port Dark Grey"
"SO3";99;"1.000";"1530.000";"PRO8";"MITEL- Mitel IP Programmable Key Modules 12 and 48"
"SO3";109;"1.000";"3000.000";"PRO9";"TI-System Installation"
"SO3";110;"1.000";"3100.000";"PRO10";"MITEL - BRI Module"
"SO4";89;"1.000";"8250.000";"PRO3";"MITEL 3300 CXI - 16  Controller Main Telephone sys"
"SO4";92;"4.000";"337.500";"PRO5";"MITEL 3300 CXI - IP Desk top License / Wireless li"
"SO4";91;"1.000";"3937.500";"PRO4";"MITEL Software Package - with Digital Link License"
"SO4";93;"5.000";"772.500";"PRO6";"MITEL- 5212 IP Phone Dual Port Dark Grey"
"SO4";95;"2.000";"1095.000";"PRO7";"MITEL- 5224 IP Phone Dual Port Dark Grey"
"SO4";99;"1.000";"1530.000";"PRO8";"MITEL- Mitel IP Programmable Key Modules 12 and 48"
"SO4";109;"1.000";"3000.000";"PRO9";"TI-System Installation"
"SO4";110;"1.000";"3100.000";"PRO10";"MITEL - BRI Module"
"SO5";112;"1.000";"27900.000";"PRO11";"Website Design and Development"
"SO5";114;"1.000";"10500.000";"PRO13";"Website CMS Training"
